GEO_ID,Tract,Median Income,Percent White,Median Income White,Percent Black,Median Income Black,Percent Indigenous,Median Income Indigenous,Percent Asian,Median Income Asian,Percent Islander,Median Income Islander,Percent Other,Median Income Other,Percent Latino,Median Income Latino,Percent Non-Hispanic White,Median Income Non-Hispanic White
1400000US53033005600,5600,170031,89.5,170375,0,-1,0,-1,7.2,197955,0.5,-1,0.7,-1,2.6,-1,88.4,167230
1400000US53033005700,5700,117449,83.7,119571,1.4,-1,0.7,-1,10.5,112314,0,-1,1.1,-1,4.2,-1,80.8,119393
1400000US53033005801,5801,84583,86.7,84551,3.9,86193,1.3,-1,4.4,116417,0,-1,0,-1,7.2,93477,79.5,83173
1400000US53033005802,5802,71715,78.7,74466,3,55225,0,-1,10.9,51575,1,-1,0,-1,4.8,-1,75.4,73714
1400000US53033005900,5900,109567,84.2,113259,0.8,-1,0,-1,9.8,-1,0,-1,0.7,-1,1.7,-1,83.1,113259
1400000US53033006000,6000,113670,86.8,117569,2,-1,0.6,-1,7.2,95313,0,-1,0.6,-1,1.3,-1,86.1,118194
1400000US53033006100,6100,109055,81.6,112137,1.8,85643,0,-1,11,82917,1,-1,0.6,-1,2.1,122353,80.1,111835
1400000US53033006200,6200,179922,89.2,182857,0.6,-1,0,-1,7.6,199643,0,-1,0.4,-1,2.4,230909,86.8,178750
1400000US53033006300,6300,135956,91.5,137083,1.4,-1,0,-1,2.7,-1,0,-1,0.5,-1,1.1,-1,90.4,136789
1400000US53033006400,6400,157670,88.8,155714,2.1,-1,0.7,-1,6.9,212727,0.8,-1,0,-1,5.1,153750,84.5,157625
1400000US53033006500,6500,103750,87.5,97411,0.9,-1,0,-1,5.8,195284,0,-1,0.5,-1,6.9,95160,81.3,102750
1400000US53033006600,6600,106995,86.5,105481,0,-1,0,-1,10.6,122153,0,-1,0,-1,3.1,-1,84.7,106082
1400000US53033006700,6700,112224,70.1,101875,0.5,-1,0,-1,23.9,152670,0,-1,0,-1,4.4,-1,66.5,104265
1400000US53033006800,6800,116111,87.6,120560,0,-1,0,-1,10.1,96458,0,-1,0.6,-1,3.5,85781,86.2,120302
1400000US53033006900,6900,127702,86.2,112818,0,-1,0,-1,10,208355,0,-1,0,-1,2.2,80667,84,113955
1400000US53033007000,7000,74063,83.9,66000,0.5,-1,1.3,-1,7.7,121382,0.5,-1,0,-1,3.9,96153,81.8,66103
1400000US53033007100,7100,84112,69.3,81850,3.3,-1,2.5,-1,15.7,153333,0,-1,3.3,-1,10.2,85893,63.4,81288
1400000US53033007200,7200,113125,68.8,93319,3.2,98388,0.4,-1,21.9,145726,0,-1,0,-1,7.4,-1,62.4,104848
1400000US53033007300,7300,100317,60.2,104535,10.5,28115,0,-1,21.4,144293,1,-1,2.1,-1,8.5,105882,54.2,101427
1400000US53033007401,7401,71453,72.8,70203,2.4,29550,0,-1,19.3,106354,0,-1,0,-1,6.4,72875,66.4,66372
1400000US53033007402,7402,55181,71.3,59116,7,-1,0,-1,11.2,73333,0,-1,3.3,-1,6.1,46667,69.1,60696
1400000US53033007500,7500,68838,80.5,68925,2.2,-1,0.3,-1,9.2,79824,0,-1,2.5,54330,5.2,52112,78.2,69525
1400000US53033007600,7600,80152,82.1,95613,2,-1,0,-1,9.3,-1,0,-1,0,-1,8.1,-1,74.1,96863
1400000US53033007700,7700,113397,77.6,128667,11.4,-1,0.1,-1,4.6,-1,0,-1,0.8,-1,4.6,65125,73.8,133421
1400000US53033007800,7800,173438,79.6,215521,8,-1,0,-1,7.3,170662,0,-1,0,-1,0.6,-1,79.1,214688
1400000US53033007900,7900,78846,73.9,94813,12.3,28971,2,-1,5.7,152105,0,-1,0.4,-1,5,104514,71.4,90750
1400000US53033008001,8001,125196,64.2,127219,1.9,-1,0,-1,27.1,121964,0,-1,1.2,-1,5.3,125613,60.1,127563
1400000US53033008002,8002,60699,66.6,73450,12.2,-1,1.7,-1,13.1,62335,0,-1,0.6,-1,6.5,41250,63.1,74675
1400000US53033008100,8100,68884,70.9,94115,5.8,-1,1.6,-1,14.4,78009,0,-1,0.7,-1,5,-1,67.7,94688
1400000US53033008200,8200,81736,70.5,90179,8,-1,0,-1,17.4,105069,0,-1,0.8,-1,3.3,-1,69.2,88963
1400000US53033008300,8300,70000,69.1,64471,6.5,-1,0,-1,21,91923,0,-1,2.3,-1,6.3,88636,64.2,58750
1400000US53033008400,8400,60910,70.4,65227,6.9,-1,0.4,-1,16.5,50750,0.5,-1,1.6,-1,4,-1,68.5,62054
1400000US53033008500,8500,50250,64.9,59447,8,15682,0,-1,20.1,55809,0,-1,5.1,41142,7.2,42177,62.6,60417
1400000US53033008600,8600,51190,58.7,55214,9.5,-1,0,-1,17.1,31250,0.7,-1,5.5,64225,12.2,65175,52.9,51613
1400000US53033008700,8700,83090,55.9,105865,19.6,-1,0.5,-1,7.9,159063,0.5,-1,3.2,-1,8.6,-1,52.1,105096
1400000US53033008800,8800,120608,59.9,138977,20.7,78553,0,-1,5.7,-1,2.1,-1,5.3,119643,4.2,83281,58.5,141705
1400000US53033008900,8900,99167,61.6,123769,19.9,-1,1.6,-1,10.9,83990,0,-1,0,-1,7.7,128636,56.2,121210
1400000US53033009000,9000,43438,37.7,71806,25.3,35139,1.5,-1,28.2,17125,0.6,-1,0,-1,3.8,50403,36.2,72723
1400000US53033009100,9100,34650,27.9,54432,5.2,32303,2.5,-1,56.9,29259,0,-1,1.3,-1,4,36164,25,58500
1400000US53033009200,9200,21387,54.8,34637,10.7,14125,5.6,10278,19.6,19167,0,-1,3,9088,9.4,-1,50.9,35938
1400000US53033009300,9300,85750,67,112250,6.4,34107,0.4,-1,21.8,47125,0,-1,0,-1,5.8,80208,61.3,115417
1400000US53033009400,9400,65255,43.8,73958,10.5,-1,1.8,-1,28.9,-1,0.6,-1,10.3,70146,16.7,70364,38.5,70795
1400000US53033009500,9500,95075,66.5,123359,13.5,-1,0.5,-1,12.8,46875,0,-1,0.6,-1,4.4,-1,63,123516
1400000US53033010001,10001,63891,42.2,88705,24.3,36811,1.2,-1,30,55694,0,-1,0,-1,3.4,65741,39.3,90726
